frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_foot_x,left_foot_y,left_foot_z,left_foot_visibility,right_foot_x,right_foot_y,right_foot_z,right_foot_visibility
1,0.03333333333333333,0.36965498328208923,0.1430908441543579,-0.29028263688087463,0.9999939799308777,0.41278916597366333,0.2231549322605133,-0.12308508157730103,0.9999934434890747,0.3341866433620453,0.2139524221420288,-0.05358431488275528,0.9999388456344604,0.4494771361351013,0.29553765058517456,-0.09688954800367355,0.8361027836799622,0.31013455986976624,0.2556101679801941,0.07429737597703934,0.9079504013061523,0.4194631576538086,0.3486422896385193,-0.1644415557384491,0.8031657338142395,0.3208998739719391,0.33699673414230347,0.0758650004863739,0.8611674904823303,0.40390196442604065,0.43896567821502686,-0.01906639337539673,0.9999744892120361,0.3551003336906433,0.44019028544425964,0.018948907032608986,0.9999184608459473,0.396790087223053,0.6020092368125916,-0.007164193782955408,0.7611924409866333,0.3609502613544464,0.5714689493179321,0.00846085324883461,0.56232088804245,0.3776051700115204,0.7421591281890869,0.12807974219322205,0.8124164342880249,0.35478127002716064,0.5089902877807617,0.36113008856773376,0.3657170534133911,0.3780443072319031,0.7889915704727173,0.04449134320020676,0.8518407940864563,0.35728901624679565,0.5179015398025513,0.38015180826187134,0.44067591428756714
2,0.06666666666666667,0.3696088194847107,0.14668333530426025,-0.27532559633255005,0.9999890327453613,0.4128779470920563,0.22331203520298004,-0.08843544125556946,0.9999915361404419,0.33422428369522095,0.21400724351406097,-0.04843122139573097,0.9999328255653381,0.44948118925094604,0.2954707741737366,-0.053327977657318115,0.8416025042533875,0.31043171882629395,0.2555377781391144,0.06891074776649475,0.8968804478645325,0.4193643033504486,0.34867289662361145,-0.12693068385124207,0.8143433928489685,0.321211040019989,0.3380507528781891,0.05790676549077034,0.8681104183197021,0.40390434861183167,0.4389667809009552,-0.01086400169879198,0.9999489188194275,0.3551660180091858,0.4407963752746582,0.010723508894443512,0.9998454451560974,0.3968135118484497,0.6014816761016846,0.004033876582980156,0.7625477910041809,0.36098548769950867,0.5720555186271667,-0.015990648418664932,0.5424524545669556,0.37787967920303345,0.741334080696106,0.1370467245578766,0.8138143420219421,0.35697001218795776,0.5144141912460327,0.34128090739250183,0.33114731311798096,0.3780299425125122,0.7883222103118896,0.05480547621846199,0.8452882170677185,0.36097416281700134,0.5230433940887451,0.36380836367607117,0.40022969245910645
3,0.1,0.369586706161499,0.14844143390655518,-0.2720966339111328,0.9999840259552002,0.41294804215431213,0.22345852851867676,-0.08387089520692825,0.9999898076057434,0.33424264192581177,0.2140313684940338,-0.04619506746530533,0.9999271631240845,0.44948306679725647,0.2954101860523224,-0.05024275928735733,0.8464559316635132,0.31056907773017883,0.2555031478404999,0.06586528569459915,0.8863478899002075,0.4193340837955475,0.3486785292625427,-0.12702764570713043,0.824587345123291,0.32139235734939575,0.3386635184288025,0.05031655356287956,0.8740173578262329,0.40391239523887634,0.4389670491218567,-0.008340442553162575,0.9999253153800964,0.3552282750606537,0.4411676228046417,0.008195539005100727,0.9997782707214355,0.39683401584625244,0.6011669635772705,0.006633752025663853,0.7620775699615479,0.36101123690605164,0.5724720358848572,-0.022734032943844795,0.5233582258224487,0.37806767225265503,0.7407734990119934,0.14168548583984375,0.8132416009902954,0.3579455018043518,0.5168268084526062,0.33525893092155457,0.2999304533004761,0.3780158460140228,0.7878566980361938,0.059663452208042145,0.8373520374298096,0.36260610818862915,0.5260356664657593,0.3573806583881378,0.3636306822299957
4,0.13333333333333333,0.36955907940864563,0.14935363829135895,-0.2712751030921936,0.9999796152114868,0.41299909353256226,0.22358368337154388,-0.08295537531375885,0.999988317489624,0.3342592418193817,0.21404807269573212,-0.045581746846437454,0.9999224543571472,0.4494851529598236,0.29535433650016785,-0.049005307257175446,0.8506479263305664,0.3106626868247986,0.25547951459884644,0.06393692642450333,0.8770472407341003,0.41931623220443726,0.34868091344833374,-0.1259082853794098,0.8337788581848145,0.32151150703430176,0.33904850482940674,0.04684777185320854,0.8794378042221069,0.4039173126220703,0.4389704465866089,-0.007376959081739187,0.9999043345451355,0.3552681505680084,0.44144031405448914,0.007231174502521753,0.9997190833091736,0.3968501091003418,0.6009318828582764,0.008143854327499866,0.7612233757972717,0.3610221743583679,0.572698712348938,-0.024382811039686203,0.5058708190917969,0.37819403409957886,0.7403694987297058,0.1450105607509613,0.8120583295822144,0.3583700656890869,0.5178489089012146,0.33352670073509216,0.2718141973018646,0.37798717617988586,0.7874972820281982,0.06333692371845245,0.8294653296470642,0.3630749583244324,0.5267288088798523,0.3553982079029083,0.3306530714035034
5,0.16666666666666666,0.3695403039455414,0.14976024627685547,-0.2830114960670471,0.9999777674674988,0.4130646288394928,0.22369907796382904,-0.08959811925888062,0.9999876022338867,0.3342675566673279,0.2140578180551529,-0.04565400630235672,0.9999204277992249,0.44950538873672485,0.29535171389579773,-0.05632534623146057,0.8566004633903503,0.3107364773750305,0.2554728090763092,0.06968490034341812,0.8699911236763,0.41929930448532104,0.34868574142456055,-0.1393583118915558,0.8428849577903748,0.3216084837913513,0.33932697772979736,0.06363700330257416,0.8853365778923035,0.4039379060268402,0.4389691948890686,-0.008474708534777164,0.9998891353607178,0.35531067848205566,0.44162511825561523,0.008334169164299965,0.9996747374534607,0.39684608578681946,0.6007764339447021,0.007011414971202612,0.7589375376701355,0.3610261380672455,0.5727484226226807,-0.01724117621779442,0.48927533626556396,0.37827107310295105,0.7401217818260193,0.14225076138973236,0.813123345375061,0.35861706733703613,0.5188490748405457,0.3572863042354584,0.24645526707172394,0.3779705762863159,0.7872706651687622,0.060519833117723465,0.8263154625892639,0.3629107177257538,0.5268322229385376,0.379814475774765,0.30119580030441284
6,0.2,0.36952248215675354,0.14999647438526154,-0.2884955406188965,0.9999762177467346,0.41311079263687134,0.2237776815891266,-0.09219243377447128,0.9999869465827942,0.334276020526886,0.21406058967113495,-0.04661023989319801,0.9999188184738159,0.44952601194381714,0.2953473925590515,-0.06053109094500542,0.8617496490478516,0.31078270077705383,0.2554631233215332,0.07230012118816376,0.8639076352119446,0.4192878305912018,0.3486878275871277,-0.14460808038711548,0.8507868647575378,0.32168048620224,0.33951446413993835,0.0704088807106018,0.8907518982887268,0.4039538502693176,0.4389663338661194,-0.009204921312630177,0.9998757839202881,0.3553462624549866,0.4417414367198944,0.009067278355360031,0.9996359944343567,0.39684394001960754,0.6006566286087036,0.005902624689042568,0.7571558356285095,0.3610270917415619,0.5727683305740356,-0.01052558608353138,0.4745204448699951,0.3783285617828369,0.7399733066558838,0.14081977307796478,0.8146000504493713,0.35870903730392456,0.5192388892173767,0.3647086024284363,0.2236344814300537,0.37795788049697876,0.7871432900428772,0.05952569842338562,0.8240842223167419,0.36275094747543335,0.5265581607818604,0.38690677285194397,0.2747125029563904
7,0.23333333333333334,0.3695089519023895,0.1501390039920807,-0.2951025664806366,0.9999751448631287,0.41314762830734253,0.2238313853740692,-0.10062136501073837,0.999986469745636,0.33428120613098145,0.21406832337379456,-0.05066637322306633,0.9999175071716309,0.4495445787906647,0.29534420371055603,-0.06619009375572205,0.8665866255760193,0.3108125627040863,0.25545719265937805,0.07354291528463364,0.8584648370742798,0.41927704215049744,0.34869545698165894,-0.14809152483940125,0.8579345941543579,0.32173222303390503,0.3396352231502533,0.07656793296337128,0.8955318927764893,0.403961718082428,0.43895649909973145,-0.009370872750878334,0.9998645186424255,0.35536354780197144,0.44180557131767273,0.009234043769538403,0.9996020197868347,0.39684242010116577,0.6005396246910095,0.0053306277841329575,0.7557024955749512,0.3610254228115082,0.5727797150611877,0.0004366399662103504,0.460947185754776,0.3783811628818512,0.7398732304573059,0.13997498154640198,0.8167833089828491,0.35873857140541077,0.5192216634750366,0.37425696849823,0.20308834314346313,0.3779534697532654,0.7870764136314392,0.05939789488911629,0.8231031894683838,0.36259037256240845,0.5262328386306763,0.39685332775115967,0.25090160965919495
8,0.26666666666666666,0.36949801445007324,0.15023764967918396,-0.29753366112709045,0.9999741911888123,0.41317495703697205,0.22387273609638214,-0.10525274276733398,0.9999859929084778,0.33428478240966797,0.21407221257686615,-0.05297475308179855,0.9999163746833801,0.44955819845199585,0.29534128308296204,-0.07021631300449371,0.8708540201187134,0.310838907957077,0.2554498314857483,0.0741017609834671,0.8536115288734436,0.4192690849304199,0.348699688911438,-0.14993280172348022,0.864287257194519,0.3217707574367523,0.33971357345581055,0.07865156978368759,0.8998687863349915,0.40396857261657715,0.4389491081237793,-0.009497681632637978,0.9998542666435242,0.3553747534751892,0.4418591856956482,0.009361190721392632,0.9995713829994202,0.39684057235717773,0.6004461646080017,0.005120401736348867,0.7536911964416504,0.361023485660553,0.5727877020835876,0.00390928378328681,0.4481741487979889,0.37842315435409546,0.7397969365119934,0.13948768377304077,0.8183156847953796,0.3587556481361389,0.5192958116531372,0.37604373693466187,0.1845613270998001,0.37794989347457886,0.7870113849639893,0.058540891855955124,0.8217913508415222,0.36247187852859497,0.5262005925178528,0.39846131205558777,0.2294078916311264
9,0.3,0.36949029564857483,0.15028859674930573,-0.30458569526672363,0.9999734163284302,0.4131990969181061,0.2239021509885788,-0.11213983595371246,0.9999856352806091,0.3342893421649933,0.2140742391347885,-0.05722741410136223,0.9999158382415771,0.44956937432289124,0.2953394651412964,-0.07978110015392303,0.8743321895599365,0.3108668029308319,0.25544506311416626,0.07403495162725449,0.8489465713500977,0.41925811767578125,0.34870100021362305,-0.1587814837694168,0.8695072531700134,0.3218012750148773,0.3397712707519531,0.07870598137378693,0.9038106799125671,0.4039778709411621,0.43894457817077637,-0.009729629382491112,0.9998465180397034,0.3553803265094757,0.4419034421443939,0.009597711265087128,0.9995482563972473,0.3968355059623718,0.6003751158714294,0.0037062163464725018,0.7521514296531677,0.3610146641731262,0.5728148818016052,0.005429925862699747,0.4379280209541321,0.3784504234790802,0.7397205829620361,0.14052747189998627,0.820165753364563,0.35873571038246155,0.5192283987998962,0.3811829686164856,0.16789628565311432,0.37794068455696106,0.7869507670402527,0.05749054625630379,0.8212748765945435,0.3623032867908478,0.5256273150444031,0.40361151099205017,0.2101328819990158
10,0.3333333333333333,0.3694831132888794,0.15033812820911407,-0.3060189485549927,0.9999727606773376,0.4132205843925476,0.22392825782299042,-0.11435566842556,0.9999853372573853,0.33429229259490967,0.21407680213451385,-0.05866297334432602,0.999915361404419,0.44958025217056274,0.29533833265304565,-0.08286556601524353,0.8775417804718018,0.3108866810798645,0.25544148683547974,0.07397229224443436,0.8445103168487549,0.4192488193511963,0.3487023115158081,-0.16097217798233032,0.874348521232605,0.3218282163143158,0.3398194909095764,0.07872739434242249,0.9072334170341492,0.40398749709129333,0.4389437437057495,-0.009877149015665054,0.9998394846916199,0.35538607835769653,0.44195112586021423,0.009748906828463078,0.9995271563529968,0.3968293070793152,0.6003297567367554,0.003551296191290021,0.7503229975700378,0.361006498336792,0.5728307366371155,0.0056044901721179485,0.4284147322177887,0.37847161293029785,0.739672064781189,0.14201004803180695,0.8214204907417297,0.3587243854999542,0.5192108154296875,0.38140201568603516,0.15288066864013672,0.3779332637786865,0.7869100570678711,0.057723551988601685,0.8203715085983276,0.36225131154060364,0.5253605842590332,0.40375369787216187,0.19274698197841644
