frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_foot_x,left_foot_y,left_foot_z,left_foot_visibility,right_foot_x,right_foot_y,right_foot_z,right_foot_visibility
0,0.0,0.5896288156509399,0.17088377475738525,-0.23269832134246826,0.9999822974205017,0.6087168455123901,0.2577625811100006,-0.09218667447566986,0.9999232292175293,0.5582335591316223,0.2666764259338379,-0.13418883085250854,0.9998756051063538,0.6254300475120544,0.3165580630302429,-0.10823939740657806,0.7847992181777954,0.5554869771003723,0.35066381096839905,-0.18790802359580994,0.9267246127128601,0.6279352903366089,0.31676390767097473,-0.20269398391246796,0.8735520839691162,0.5780994296073914,0.3722224831581116,-0.2978898584842682,0.911623477935791,0.5841683149337769,0.4736441373825073,0.028861572965979576,0.9994626045227051,0.5529649257659912,0.47649115324020386,-0.028907541185617447,0.9996095299720764,0.5802161693572998,0.6368832588195801,0.17059245705604553,0.8489643931388855,0.5571085214614868,0.6228534579277039,-0.08978647738695145,0.934306263923645,0.5873035788536072,0.7666044235229492,0.3237098753452301,0.902471661567688,0.5475077033042908,0.7931593060493469,-0.041940800845623016,0.9381036162376404,0.5873925685882568,0.7815839052200317,0.2788007855415344,0.9059300422668457,0.5482730269432068,0.8220086097717285,-0.11151933670043945,0.9350771307945251
2,0.06666666666666667,0.26886463165283203,0.40040746331214905,0.05592360347509384,0.9999820590019226,0.2921711802482605,0.4217762351036072,-0.07807236164808273,0.9999305605888367,0.3219287395477295,0.4279193580150604,0.1372554451227188,0.9998776912689209,0.2944203019142151,0.5103598237037659,-0.11664366722106934,0.8043323159217834,0.3507517874240875,0.5236688852310181,0.1269272118806839,0.8345772624015808,0.26052480936050415,0.5721645355224609,-0.08137332648038864,0.8771770000457764,0.3311591148376465,0.5917243361473083,0.055324215441942215,0.8217692375183105,0.31535759568214417,0.611984133720398,-0.06638526916503906,0.9995145201683044,0.319853812456131,0.6135793328285217,0.06634826213121414,0.9996448755264282,0.3330496847629547,0.7434491515159607,-0.09366699308156967,0.8504884243011475,0.2884371280670166,0.7325859665870667,0.04098181053996086,0.8526477813720703,0.3796056807041168,0.8732590675354004,-0.10607932507991791,0.8933243155479431,0.2752116620540619,0.866522490978241,0.05730060487985611,0.8638128638267517,0.36042994260787964,0.9121547937393188,-0.17478299140930176,0.8948399424552917,0.2445908486843109,0.8925795555114746,0.014385754242539406,0.8739995956420898
3,0.1,0.2687605023384094,0.40028882026672363,0.0019095992902293801,0.9999827742576599,0.29312756657600403,0.4220394492149353,-0.11868099868297577,0.9999371767044067,0.3217836916446686,0.4279178977012634,0.10694601386785507,0.9998840689659119,0.294574499130249,0.5105476975440979,-0.13779999315738678,0.8236237168312073,0.35107699036598206,0.5260058641433716,0.10353797674179077,0.7590981721878052,0.26064762473106384,0.5732759833335876,-0.0853562206029892,0.8858465552330017,0.3306894302368164,0.594643771648407,0.0339445061981678,0.7407525181770325,0.3154071867465973,0.6102409958839417,-0.07156416028738022,0.9995605945587158,0.3198622465133667,0.6121540069580078,0.07151024788618088,0.9996752738952637,0.33344927430152893,0.7433372735977173,-0.09145471453666687,0.8639169335365295,0.2885860204696655,0.7332472801208496,0.08252083510160446,0.807701587677002,0.379776269197464,0.8742750287055969,-0.0883830338716507,0.9022985100746155,0.275238960981369,0.8729039430618286,0.11371169239282608,0.8525469303131104,0.36022040247917175,0.9123392105102539,-0.15269696712493896,0.9033217430114746,0.24480263888835907,0.8915928602218628,0.07257485389709473,0.8701139688491821
4,0.13333333333333333,0.2685738205909729,0.40016236901283264,0.0031087694223970175,0.9999833106994629,0.2937031686306,0.4220399260520935,-0.12004820257425308,0.9999431371688843,0.3217644989490509,0.4278627634048462,0.10887342691421509,0.9998896718025208,0.29475346207618713,0.5107343196868896,-0.14249923825263977,0.8410043120384216,0.3512577414512634,0.5267593264579773,0.10431382805109024,0.6911096572875977,0.2607373595237732,0.573767900466919,-0.09114833176136017,0.8939690589904785,0.33034640550613403,0.5957042574882507,0.03316736966371536,0.6677820086479187,0.3154063820838928,0.609123945236206,-0.07387630641460419,0.9996021389961243,0.31987088918685913,0.611205518245697,0.07381833344697952,0.9997028708457947,0.33369556069374084,0.7432612776756287,-0.09110890328884125,0.8758816123008728,0.28860893845558167,0.7337470054626465,0.0843338593840599,0.7685238718986511,0.37992918491363525,0.8750637769699097,-0.0878768265247345,0.9102837443351746,0.27523115277290344,0.8753252029418945,0.11242400109767914,0.8433147668838501,0.35991397500038147,0.9124237895011902,-0.1536712795495987,0.9109084606170654,0.2448643147945404,0.8911928534507751,0.06954397261142731,0.8675000667572021
5,0.16666666666666666,0.26830238103866577,0.40012648701667786,0.004890347830951214,0.9999834299087524,0.2937144637107849,0.4219247102737427,-0.12007343769073486,0.9999484419822693,0.3216894268989563,0.42753058671951294,0.1094040498137474,0.9998937249183655,0.2947242259979248,0.5108309984207153,-0.14654263854026794,0.8566478490829468,0.35112735629081726,0.5268832445144653,0.10561611503362656,0.6297197937965393,0.2607420086860657,0.5742546319961548,-0.09811590611934662,0.901170551776886,0.3301171660423279,0.5958293676376343,0.03698986768722534,0.602123498916626,0.3148418068885803,0.6091878414154053,-0.07498107105493546,0.9996395111083984,0.3202292025089264,0.611187219619751,0.07491981238126755,0.9997277855873108,0.333116352558136,0.7433730959892273,-0.09289192408323288,0.8869543075561523,0.2887251079082489,0.734801709651947,0.09140023589134216,0.7316941618919373,0.3799867331981659,0.8750525712966919,-0.09184736013412476,0.9178145527839661,0.2753566801548004,0.8768651485443115,0.11920900642871857,0.836303174495697,0.359779417514801,0.9124152064323425,-0.1582278460264206,0.9181749820709229,0.24573743343353271,0.890507698059082,0.07687129825353622,0.8662046194076538
6,0.2,0.26811113953590393,0.3998831808567047,0.003552007023245096,0.999983549118042,0.293782114982605,0.4218751788139343,-0.11569269746541977,0.9999531507492065,0.32164889574050903,0.4272773265838623,0.10420509427785873,0.9998977780342102,0.29469019174575806,0.5110473036766052,-0.1403060108423233,0.8705457448959351,0.35109513998031616,0.5269628167152405,0.10040722787380219,0.5728114247322083,0.2608294188976288,0.5743390917778015,-0.09745466709136963,0.9052609205245972,0.33012112975120544,0.5958365797996521,0.03579644113779068,0.5430136919021606,0.31460198760032654,0.6092295050621033,-0.07412758469581604,0.999673068523407,0.320313036441803,0.6111336946487427,0.07406912744045258,0.9997503161430359,0.33268430829048157,0.743450403213501,-0.09172520786523819,0.8965039253234863,0.2887272536754608,0.735194981098175,0.09042037278413773,0.6928549408912659,0.3799906373023987,0.8749369978904724,-0.08889375627040863,0.924081027507782,0.2754530906677246,0.8769252300262451,0.11854038387537003,0.8249034881591797,0.35959392786026,0.9124079942703247,-0.15019288659095764,0.9241992235183716,0.24590595066547394,0.8897895812988281,0.07952447980642319,0.8617148399353027
7,0.23333333333333334,0.26799455285072327,0.3994751274585724,0.003576613264158368,0.9999837875366211,0.2938474416732788,0.4218566119670868,-0.11294794082641602,0.9999573230743408,0.3215366303920746,0.4270623028278351,0.10320045053958893,0.9999011754989624,0.2946782410144806,0.5113030672073364,-0.13731548190116882,0.882989764213562,0.35105234384536743,0.5269457101821899,0.09832735359668732,0.521602213382721,0.26094552874565125,0.5743467211723328,-0.09255452454090118,0.9081164598464966,0.3301324248313904,0.5957677960395813,0.03443985432386398,0.4898030161857605,0.3144175410270691,0.6093039512634277,-0.07358245551586151,0.999703049659729,0.3203546404838562,0.6110557317733765,0.07352657616138458,0.9997702240943909,0.3323320150375366,0.7434796690940857,-0.09072316437959671,0.9048662781715393,0.28869491815567017,0.7352445721626282,0.09013699740171432,0.6559551954269409,0.3796343207359314,0.8748911619186401,-0.08918005228042603,0.9295225143432617,0.2754955291748047,0.8765602707862854,0.11785417795181274,0.8124971389770508,0.35743382573127747,0.9124012589454651,-0.1499948352575302,0.9294300675392151,0.24606876075267792,0.8885283470153809,0.07953159511089325,0.8560694456100464
8,0.26666666666666666,0.26784369349479675,0.3991904854774475,0.006903921253979206,0.9999841451644897,0.29389888048171997,0.42184460163116455,-0.11019984632730484,0.9999611377716064,0.3214287757873535,0.4268912076950073,0.1038575991988182,0.9999045133590698,0.2946684956550598,0.5115855932235718,-0.13644078373908997,0.8941298723220825,0.35102546215057373,0.526915431022644,0.09778950363397598,0.475567489862442,0.2610240578651428,0.5743443965911865,-0.08657701313495636,0.909913957118988,0.3301435112953186,0.5957428216934204,0.034324999898672104,0.4419082999229431,0.3142574429512024,0.6093426942825317,-0.07335758954286575,0.9997299313545227,0.32041001319885254,0.6109657883644104,0.07330751419067383,0.9997880458831787,0.33203405141830444,0.7434771060943604,-0.0895908772945404,0.9121444225311279,0.2886416018009186,0.7352471947669983,0.0892966091632843,0.6214974522590637,0.3792720437049866,0.8747535943984985,-0.09061958640813828,0.9342077374458313,0.27549469470977783,0.8762919902801514,0.11539489030838013,0.7998988628387451,0.356269896030426,0.9123831987380981,-0.1522691398859024,0.9339507222175598,0.24611859023571014,0.8879862427711487,0.07716424763202667,0.8499055504798889
9,0.3,0.26729246973991394,0.3991263508796692,0.011468680575489998,0.9999844431877136,0.2935590147972107,0.42119064927101135,-0.10838601738214493,0.9999646544456482,0.3205614686012268,0.4268355071544647,0.10734692960977554,0.9999071359634399,0.2943895757198334,0.5118669271469116,-0.1377258151769638,0.9043306112289429,0.350114107131958,0.526820719242096,0.09979486465454102,0.4361780881881714,0.260974258184433,0.5753416419029236,-0.09329554438591003,0.9137890338897705,0.3292061686515808,0.595710039138794,0.03470008820295334,0.3986763656139374,0.3136901259422302,0.609237015247345,-0.07312624156475067,0.9997544884681702,0.3205100893974304,0.610632598400116,0.07307122647762299,0.9998044967651367,0.330599844455719,0.7434568405151367,-0.09783559292554855,0.9192456603050232,0.2885821461677551,0.7354389429092407,0.08386974036693573,0.5990734100341797,0.37896978855133057,0.8744880557060242,-0.11517850309610367,0.9392160773277283,0.27541327476501465,0.8760408759117126,0.11218684911727905,0.797648012638092,0.3556651473045349,0.9123643040657043,-0.18161781132221222,0.9388841390609741,0.2461589127779007,0.8879603743553162,0.07106810808181763,0.8506549596786499
10,0.3333333333333333,0.2669183611869812,0.3992539346218109,0.01250518299639225,0.9999843835830688,0.2932034134864807,0.42058831453323364,-0.10745195299386978,0.9999677538871765,0.32020828127861023,0.42674919962882996,0.10903684794902802,0.9999092817306519,0.2941928207874298,0.5119626522064209,-0.13912729918956757,0.9134527444839478,0.3496458828449249,0.5266324877738953,0.09970101714134216,0.401327908039093,0.2609541416168213,0.575775682926178,-0.0978550836443901,0.9164155125617981,0.32896798849105835,0.5956968665122986,0.03300766274333,0.3597959578037262,0.31330442428588867,0.60912024974823,-0.07299870252609253,0.9997764229774475,0.32065171003341675,0.6103455424308777,0.07293914258480072,0.9998192191123962,0.3298115134239197,0.743539571762085,-0.10005155950784683,0.925345778465271,0.28852587938308716,0.7356322407722473,0.08323682844638824,0.5762524008750916,0.3787619471549988,0.8744609355926514,-0.11664767563343048,0.9433778524398804,0.2753564715385437,0.8759345412254333,0.10693572461605072,0.7929747104644775,0.35519498586654663,0.9123314619064331,-0.18342091143131256,0.9429340362548828,0.24618037045001984,0.8880038857460022,0.0661027580499649,0.8490800261497498
